id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,eventtime,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,recordSecurity,securityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,cleanName,calcLat,calcLon,centroidAssigned,georef_notes,geographicPrecision,geometry,countyNameFromJoin,countyFIPS,countyMatch,genusSpecies,Scientific Name,State Rank,Global Rank,Federal Status,onTrackingList
30594292,CSU,,,PreservedSpecimen,,CSU116676,,,Plantae,Magnoliophyta,,Lamiales,Lamiaceae,Lamium amplexicaule,880.0,L.,Lamium,,amplexicaule,,,,,Species,Carolina Cervantes,19-Feb-09,,,,,,Carolina Cervantes,,1,2/19/2009,,,2009.0,2.0,19.0,50.0,,19-Feb-09,,Mowed Lawn Habit.,,Purple flowers with simple leaves. Corolla shape bilabiate.,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Oklahoma,,"T14N, R3W, sec. 25. Edmond City, UCO Campus, south side of Lab Science.",,0,,,,,,,,,,,,,,,,,,,,gpayne00,4/23/2025 2:12,,538,3732379c-3260-4227-885c-1a38005dfda7,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=30594292,Oklahoma,35.55149621091703,-97.40723927788326,True,,ASSIGNED CENTROID,POINT (-97.40723927788326 35.55149621091703),Oklahoma,40109,True,Lamium amplexicaule,,,,,False
30619344,CSU,,,PreservedSpecimen,,CSU116679,,,Plantae,Magnoliophyta,,Myrtales,Onagraceae,Oenothera laciniata,561.0,Hill,Oenothera,,laciniata,,,,,Species,,,,,,,,Toby FitzSimmons,,48,5/1/2009,,,2009.0,5.0,1.0,121.0,,1-May-09,,Near Blackjack oaks in yard.,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Oklahoma,,1900 Cobblestone Court. Found growing near Blackjack oaks in yard.,,0,,,,,,"TRS: T14N, R3W, S24.",,,,,,,,,,,,,,gpayne00,4/23/2025 2:12,,538,7bae216e-666f-43ca-8ad8-7771d6a7ba7e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=30619344,Oklahoma,35.55149621091703,-97.40723927788326,True,,ASSIGNED CENTROID,POINT (-97.40723927788326 35.55149621091703),Oklahoma,40109,True,Oenothera laciniata,,,,,False
30619351,CSU,,,PreservedSpecimen,,CSU116678,,,Plantae,Magnoliophyta,,Asparagales,Amaryllidaceae,Allium canadense,47367.0,L.,Allium,,canadense,,,,,Species,,,,,,,,Carolina Cervantes,,31,4/19/2009,,,2009.0,4.0,19.0,109.0,,19-Apr-09,,Roadside by railroad,,"Leaves basal, linear. Inflorescence umbels w/bracts at base. Pink/white flowers.",,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Oklahoma,,"Oklahoma City, Along the road on N. I235/US77 1m away from NW 50th St",,0,,,,,,"TRS: T12N, R3W, S16",,,,,,,,,,,,,,gpayne00,4/23/2025 2:12,,538,f6cc1ed6-69a5-4c7e-9caf-beb777cab895,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=30619351,Oklahoma,35.55149621091703,-97.40723927788326,True,,ASSIGNED CENTROID,POINT (-97.40723927788326 35.55149621091703),Oklahoma,40109,True,Allium canadense,,,,,False
30619352,CSU,,,PreservedSpecimen,,CSU116677,,,Plantae,Magnoliophyta,,Asparagales,Amaryllidaceae,Allium drummondii,17857.0,Regel,Allium,,drummondii,,,,,Species,Grace Payne,1/26/2023,,,,,,Kelly Smith,,33,4/26/2009,,,2009.0,4.0,26.0,116.0,,26-Apr-09,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Oklahoma,,Yard;hillside,,0,,,,,,"TRS: T14N, R1W, S13",,,,,,,,,,,,,,gpayne00,4/23/2025 2:12,,538,1bd929f3-7ec9-4936-9a56-d627d7cd82ad,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=30619352,Oklahoma,35.55149621091703,-97.40723927788326,True,,ASSIGNED CENTROID,POINT (-97.40723927788326 35.55149621091703),Oklahoma,40109,True,Allium drummondii,,,,,False
30619376,CSU,,,PreservedSpecimen,,CSU116675,,,Plantae,Magnoliophyta,,Ranunculales,Papaveraceae,Corydalis micrantha,79081.0,(Engelm. ex A. Gray) A. Gray,Corydalis,,micrantha,,,,,Species,,,,,,,,Kelly Smith,,9,4/5/2009,,,2009.0,4.0,5.0,95.0,,5 Apr. 2009,,Side of road,,Yellow flowers,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Oklahoma,,"0.3 mi W of Indian Meridian in Covell Rd., Luther; side of road",,0,,,,,,"TRS: T14N, R1W, S13",,,,,,,,,,,,,,gpayne00,4/23/2025 2:12,,538,120a2910-1190-41ee-a5fc-0011ca935be9,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=30619376,Oklahoma,35.55149621091703,-97.40723927788326,True,,ASSIGNED CENTROID,POINT (-97.40723927788326 35.55149621091703),Oklahoma,40109,True,Corydalis micrantha,,,,,False
30619391,CSU,,,PreservedSpecimen,,CSU116674,,,Plantae,Magnoliophyta,,Fabales,Fabaceae,Trifolium incarnatum,18835.0,L.,Trifolium,,incarnatum,,,,,Species,,,,,,,,Kelly Smith,,29,4/19/2009,,,2009.0,4.0,19.0,109.0,,19 Apr. 2009,,Side of road,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Sequoyah,,Side of road; I40,,0,,,,,,"TRS: T11N, R25E, S25",,,,,,,,,,,,,,gpayne00,4/23/2025 2:12,,538,5e4bf247-15c9-4e64-a587-ddddf3068681,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=30619391,Sequoyah,35.49540590660915,-94.75508949749879,True,,ASSIGNED CENTROID,POINT (-94.75508949749879 35.49540590660915),Sequoyah,40135,True,Trifolium incarnatum,,,,,False
30619394,CSU,,,PreservedSpecimen,,CSU116673,,,Plantae,Magnoliophyta,,Fabales,Fabaceae,Medicago lupulina,186.0,L.,Medicago,,lupulina,,,,,Species,,,,,,,,David Ayadpoor,,31,4/25/2009,,,2009.0,4.0,25.0,115.0,,25-Apr-09,,Unmowed lawn,,Flowers yellow,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Cleveland,,Oklahoma City. S.W. Of intersection of S.W. 96th St. and Mayview Ct.,,0,,,,,,"TRS: T10N, R4W, S1",,,,,,,,,,,,,,gpayne00,4/23/2025 2:12,,538,17b308c6-7f8d-4bd8-83cd-26c323ad00c5,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=30619394,Cleveland,35.20296064455425,-97.32628526717691,True,,ASSIGNED CENTROID,POINT (-97.32628526717691 35.20296064455425),Cleveland,40027,True,Medicago lupulina,,,,,False
30619396,CSU,,,PreservedSpecimen,,CSU116672,,,Plantae,Magnoliophyta,,Fabales,Fabaceae,Robinia pseudacacia,212912.0,L.,Robinia,,pseudacacia,,,,,Species,,,,,,,,Toby FitzSimons,,41,4/16/2009,,,2009.0,4.0,16.0,106.0,,"Apr. 16, 2009",,Wild area South of Howell Hall,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Oklahoma,,University of Central Oklahoma Campus. Found growing in wild area south of Howell Hall.,,0,,,,,,"TRS: T14N, R3W, S25",,,,,,,,,,,,,,gpayne00,4/23/2025 2:12,,538,2712e7ba-4d08-4ec6-8259-22fcfe041886,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=30619396,Oklahoma,35.55149621091703,-97.40723927788326,True,,ASSIGNED CENTROID,POINT (-97.40723927788326 35.55149621091703),Oklahoma,40109,True,Robinia pseudacacia,,,,,False
30619398,CSU,,,PreservedSpecimen,,CSU116671,,,Plantae,Magnoliophyta,,Myrtales,Onagraceae,Oenothera glaucifolia,245110.0,W.L. Wagner & Hoch,Oenothera,,glaucifolia,,,,,Species,Grace Payne,1/26/2023,,,,,,J. Howard,,20,7/12/1998,,,1998.0,7.0,12.0,193.0,,12th July 1998,,Growing near Blackjack oaks in yard,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Oklahoma,,1900 Cobblestone Court. Found growing near Blackjack oaks in yard.,,0,,,,,,"TRS: T14N, R3W, S24",,,,,,,,,,,,,,gpayne00,4/23/2025 2:12,,538,a87421e3-2fb0-48eb-834a-8ae5066fd02f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=30619398,Oklahoma,35.55149621091703,-97.40723927788326,True,,ASSIGNED CENTROID,POINT (-97.40723927788326 35.55149621091703),Oklahoma,40109,True,Oenothera glaucifolia,,,,,False
30620502,CSU,,,PreservedSpecimen,,CSU116670,,,Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,Rumex altissimus,2783.0,Alph. Wood,Rumex,,altissimus,,,,,Species,,,,,,,,S. Hansen,,11,6/14/1998,,,1998.0,6.0,14.0,165.0,,14-Jun-98,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Oklahoma,,"2944 NW 48th Street (<1/4 mi. W of NW May) Residence, naturalized area dominated by Bermuda grass.",,0,,,,,,,,,,,,,,,,,,,,gpayne00,6/28/2025 0:20,,538,92fa0375-5e41-490e-84f2-b81a8de93dd2,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=30620502,Oklahoma,35.55149621091703,-97.40723927788326,True,,ASSIGNED CENTROID,POINT (-97.40723927788326 35.55149621091703),Oklahoma,40109,True,Rumex altissimus,,,,,False
