countyFIPS,family,specCount
40001,Apiaceae,1
40001,Asteraceae,4
40001,Caprifoliaceae,1
40001,Cornaceae,1
40001,Geraniaceae,1
40001,Hydrangeaceae,1
40001,Lamiaceae,1
40001,Plantaginaceae,1
40001,Poaceae,2
40001,Primulaceae,1
40001,Pteridaceae,1
40001,Viburnaceae,1
40003,Amaranthaceae,1
40003,Asteraceae,4
40003,Convolvulaceae,1
40003,Cyperaceae,1
40003,Poaceae,6
40003,Polygonaceae,1
40005,Asteraceae,13
40005,Cyperaceae,1
40005,Fabaceae,2
40005,Melastomataceae,1
40005,Moraceae,1
40005,Nymphaeaceae,1
40005,Onagraceae,1
40005,Orobanchaceae,6
40005,Poaceae,6
40005,Polygalaceae,1
40005,Ranunculaceae,2
40005,Rosaceae,2
40005,Salicaceae,1
40005,Typhaceae,2
40005,Verbenaceae,2
40005,Violaceae,1
40005,Vitaceae,1
40007,Asteraceae,10
40007,Caryophyllaceae,1
40007,Cleomaceae,1
40007,Convolvulaceae,1
40007,Cyperaceae,3
40007,Elaeagnaceae,1
40007,Euphorbiaceae,3
40007,Fabaceae,4
40007,Lamiaceae,2
40007,Linaceae,1
40007,Malvaceae,1
40007,Onagraceae,2
40007,Plantaginaceae,1
40007,Poaceae,2
40007,Verbenaceae,1
40007,Zygophyllaceae,1
40009,Amaranthaceae,1
40009,Asteraceae,2
40009,Boraginaceae,1
40009,Juglandaceae,1
40009,Lamiaceae,1
40009,Papaveraceae,1
40009,Phytolaccaceae,1
40009,Poaceae,2
40009,Tamaricaceae,1
40009,Verbenaceae,1
40011,Amaranthaceae,5
40011,Anacardiaceae,4
40011,Apocynaceae,3
40011,Asparagaceae,1
40011,Asteraceae,57
40011,Bignoniaceae,3
40011,Boraginaceae,7
40011,Brassicaceae,4
40011,Cleomaceae,4
40011,Commelinaceae,8
40011,Convolvulaceae,1
40011,Cucurbitaceae,1
40011,Cupressaceae,2
40011,Cyperaceae,1
40011,Euphorbiaceae,4
40011,Fabaceae,17
40011,Lamiaceae,9
40011,Linaceae,2
40011,Loasaceae,2
40011,Malvaceae,3
40011,Onagraceae,10
40011,Oxalidaceae,2
40011,Papaveraceae,5
40011,Phytolaccaceae,2
40011,Plantaginaceae,6
40011,Poaceae,12
40011,Polygonaceae,5
40011,Portulacaceae,1
40011,Ranunculaceae,2
40011,Rubiaceae,5
40011,Sapindaceae,1
40011,Solanaceae,18
40011,Typhaceae,1
40011,Ulmaceae,1
40011,Verbenaceae,6
40011,Zygophyllaceae,5
40013,Orobanchaceae,2
40015,Amaranthaceae,4
40015,Anacardiaceae,4
40015,Apiaceae,1
40015,Apocynaceae,6
40015,Asparagaceae,3
40015,Asteraceae,30
40015,Boraginaceae,5
