family,count,percentage
Asteraceae,1870,0.17133956386292834
Fabaceae,1135,0.10399486897562764
Poaceae,776,0.07110133773135423
Onagraceae,389,0.03564229430089793
Brassicaceae,379,0.03472603994868976
Lamiaceae,347,0.0317940260216236
Plantaginaceae,296,0.02712112882536192
Apocynaceae,281,0.02574674729704966
Euphorbiaceae,267,0.02446399120395822
Cyperaceae,254,0.023272860546087595
Solanaceae,249,0.022814733369983506
Verbenaceae,227,0.020798973795125526
Rubiaceae,220,0.020157595748579806
Boraginaceae,219,0.020065970313358987
Apiaceae,205,0.018783214220267547
Rosaceae,166,0.015209822246655671
Convolvulaceae,161,0.014751695070551586
Commelinaceae,150,0.013743815283122594
Polygonaceae,145,0.013285688107018509
Malvaceae,134,0.012277808319589517
Ranunculaceae,130,0.01191130657870625
Caryophyllaceae,126,0.01154480483782298
Anacardiaceae,118,0.01081180135605644
Gentianaceae,108,0.009895547003848268
Fagaceae,104,0.009529045262964999
Caprifoliaceae,100,0.00916254352208173
Oxalidaceae,90,0.008246289169873557
Bignoniaceae,89,0.00815466373465274
Amaranthaceae,86,0.007879787428990287
Violaceae,82,0.007513285688107018
Orobanchaceae,78,0.007146783947223749
Ulmaceae,74,0.00678028220634048
Amaryllidaceae,73,0.006688656771119663
Papaveraceae,67,0.006138904159794759
Sapindaceae,67,0.006138904159794759
Polemoniaceae,66,0.006047278724573941
Acanthaceae,65,0.005955653289353125
Geraniaceae,63,0.00577240241891149
Polygalaceae,56,0.005131024372365769
Campanulaceae,54,0.004947773501924134
Linaceae,53,0.004856148066703317
Asparagaceae,52,0.004764522631482499
Salicaceae,51,0.004672897196261682
Typhaceae,46,0.004214770020157596
Cupressaceae,44,0.004031519149715961
Vitaceae,44,0.004031519149715961
Montiaceae,43,0.0039398937144951435
Tamaricaceae,43,0.0039398937144951435
Loasaceae,42,0.0038482682792743265
Iridaceae,37,0.00339014110317024
Zygophyllaceae,37,0.00339014110317024
Equisetaceae,36,0.003298515667949423
Phytolaccaceae,34,0.003115264797507788
Viburnaceae,32,0.0029320139270661537
Cannabaceae,30,0.002748763056624519
Grossulariaceae,30,0.002748763056624519
Nyctaginaceae,28,0.0025655121861828845
Passifloraceae,26,0.0023822613157412497
Cornaceae,24,0.0021990104452996153
Cleomaceae,24,0.0021990104452996153
Smilacaceae,23,0.002107385010078798
Pteridaceae,23,0.002107385010078798
Lythraceae,23,0.002107385010078798
Betulaceae,22,0.0020157595748579804
Molluginaceae,21,0.0019241341396371632
Hypericaceae,21,0.0019241341396371632
Oleaceae,20,0.001832508704416346
Primulaceae,20,0.001832508704416346
Crassulaceae,20,0.001832508704416346
Cucurbitaceae,19,0.0017408832691955286
Juglandaceae,18,0.0016492578339747114
Moraceae,18,0.0016492578339747114
Platanaceae,17,0.001557632398753894
Juncaceae,16,0.0014660069635330768
Portulacaceae,16,0.0014660069635330768
Martyniaceae,16,0.0014660069635330768
Rutaceae,15,0.0013743815283122594
Scrophulariaceae,14,0.0012827560930914422
Alismataceae,13,0.0011911306578706248
Sapotaceae,13,0.0011911306578706248
Celastraceae,12,0.0010995052226498076
Hypoxidaceae,11,0.0010078797874289902
Cactaceae,11,0.0010078797874289902
Menispermaceae,10,0.000916254352208173
Talinaceae,10,0.000916254352208173
Santalaceae,9,0.0008246289169873557
Aquifoliaceae,9,0.0008246289169873557
Rhamnaceae,9,0.0008246289169873557
Melanthiaceae,9,0.0008246289169873557
Cistaceae,8,0.0007330034817665384
Nelumbonaceae,8,0.0007330034817665384
Phyllanthaceae,8,0.0007330034817665384
Liliaceae,8,0.0007330034817665384
Araceae,6,0.0005497526113249038
Simaroubaceae,6,0.0005497526113249038
Krameriaceae,5,0.0004581271761040865
Urticaceae,5,0.0004581271761040865
Ebenaceae,5,0.0004581271761040865
Nymphaeaceae,5,0.0004581271761040865
Phrymaceae,5,0.0004581271761040865
Altingiaceae,4,0.0003665017408832692
Loganiaceae,4,0.0003665017408832692
Hydroleaceae,4,0.0003665017408832692
Woodsiaceae,3,0.0002748763056624519
Ophioglossaceae,3,0.0002748763056624519
Elaeagnaceae,3,0.0002748763056624519
Aspleniaceae,3,0.0002748763056624519
Melastomataceae,3,0.0002748763056624519
Saururaceae,3,0.0002748763056624519
Styracaceae,2,0.0001832508704416346
Arecaceae,2,0.0001832508704416346
Ephedraceae,2,0.0001832508704416346
Hamamelidaceae,2,0.0001832508704416346
Tetrachondraceae,2,0.0001832508704416346
Nyssaceae,2,0.0001832508704416346
Potamogetonaceae,2,0.0001832508704416346
Hydrangeaceae,2,0.0001832508704416346
Linderniaceae,2,0.0001832508704416346
Marsileaceae,1,9.16254352208173e-05
Dryopteridaceae,1,9.16254352208173e-05
Aizoaceae,1,9.16254352208173e-05
Elatinaceae,1,9.16254352208173e-05
Aristolochiaceae,1,9.16254352208173e-05
Asphodelaceae,1,9.16254352208173e-05
Berberidaceae,1,9.16254352208173e-05
Pontederiaceae,1,9.16254352208173e-05
Ericaceae,1,9.16254352208173e-05
Xyridaceae,1,9.16254352208173e-05
Araliaceae,1,9.16254352208173e-05
