NAME,lat,lon
Kiowa,34.916298,-98.980896
Choctaw,34.026761,-95.552192
Roger Mills,35.68824,-99.695813
Custer,35.638911,-99.001555
Comanche,34.662124,-98.471722
McCurtain,34.114825,-94.771315
Harper,36.788806,-99.667345
Nowata,36.798366,-95.617377
Delaware,36.408035,-94.80259
Dewey,35.987725,-99.007925
Washington,36.714909,-95.904384
Major,36.311831,-98.535941
Haskell,35.224789,-95.116752
Texas,36.748059,-101.490123
Woodward,36.422551,-99.265182
Oklahoma,35.551488,-97.407239
Johnston,34.316469,-96.660557
Latimer,34.875989,-95.250478
Grady,35.016526,-97.884096
Harmon,34.743931,-99.846151
Kay,36.818017,-97.144083
Craig,36.761618,-95.208442
Tulsa,36.120891,-95.941483
McIntosh,35.373643,-95.667011
Pottawatomie,35.2064,-96.948432
Lincoln,35.70283,-96.880901
Alfalfa,36.730766,-98.323976
Atoka,34.373539,-96.038081
Okmulgee,35.646474,-95.96426
Jefferson,34.110954,-97.835768
Mayes,36.301817,-95.230791
McClain,35.009303,-97.443976
Le Flore,34.899745,-94.703508
Canadian,35.542451,-97.982364
Seminole,35.167256,-96.61556
Rogers,36.371354,-95.60436
Caddo,35.174046,-98.375032
Love,33.9499,-97.24408
Woods,36.766831,-98.864715
Murray,34.482317,-97.067957
Blaine,35.874942,-98.433548
Payne,36.077374,-96.975617
Cimarron,36.748386,-102.517728
Ellis,36.217978,-99.754411
Okfuskee,35.465438,-96.322616
Creek,35.902441,-96.370898
Pontotoc,34.727973,-96.684385
Washita,35.290438,-98.992224
Pushmataha,34.4161,-95.376122
Cleveland,35.202944,-97.326285
Noble,36.388501,-97.230563
Marshall,34.02446,-96.76912
Tillman,34.372784,-98.924095
Stephens,34.485538,-97.851536
Bryan,33.962241,-96.259831
Cherokee,35.906483,-94.999682
Osage,36.62892,-96.398276
Pawnee,36.316898,-96.698935
Coal,34.588142,-96.297844
Garfield,36.379022,-97.78273
Beckham,35.2687,-99.68213
Ottawa,36.835459,-94.810428
Logan,35.919245,-97.443195
Pittsburg,34.923622,-95.748595
Greer,34.935685,-99.560727
Cotton,34.290187,-98.372298
Garvin,34.704626,-97.309375
Beaver,36.749768,-100.476854
Kingfisher,35.945293,-97.942114
Adair,35.883688,-94.658706
Sequoyah,35.495399,-94.75509
Wagoner,35.961087,-95.521151
Hughes,35.048153,-96.250264
Muskogee,35.616043,-95.37919
Jackson,34.587929,-99.414962
Carter,34.250856,-97.285666
Grant,36.796127,-97.786132
