Category,Taxonomic Class,Taxonomic Order,Family,Genus,Scientific Name,Common Name,State Rank,Global Rank,Federal Status,State Status,ODWC Tier
Plant,Lycopodiopsida,Isoetales,Isoetaceae,Isoetes,Isoetes butleri,Butler's quillwort,S1,G4,,,
Plant,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Lycopodiella,Lycopodiella appressa,southern bog clubmoss,S1,G5,,,
Plant,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,Selaginella densa,dense spikemoss,S1,G5,,,
Plant,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,Selaginella underwoodii,Underwood's spikemoss,S1,G5?,,,
Plant,Magnoliopsida,Alismatales,Araceae,Peltandra,Peltandra virginica,green arrow-arum,S1,G5,,,
Plant,Magnoliopsida,Alismatales,Araceae,Wolffiella,Wolffiella gladiata,sword bogmat,S1,G5,,,
Plant,Magnoliopsida,Alismatales,Hydrocharitaceae,Limnobium,Limnobium spongia,American Frog's-bit,S1,G4,,,
Plant,Magnoliopsida,Apiales,Apiaceae,Erigenia,Erigenia bulbosa,harbinger of spring,S1,G5,,,
Plant,Magnoliopsida,Apiales,Apiaceae,Eryngium,Eryngium hookeri,Hooker's eryngo,S1,G3G5,,,
Plant,Magnoliopsida,Apiales,Apiaceae,Perideridia,Perideridia americana,eastern eulophus,S1,G4,,,
Plant,Magnoliopsida,Apiales,Apiaceae,Ptilimnium,Ptilimnium costatum,ribbed mock bishopweed,S1,G4,,,
Plant,Magnoliopsida,Apiales,Apiaceae,Ptilimnium,Ptilimnium nodosum,harperella,S1,G2,Listed Endangered,,
Plant,Magnoliopsida,Apiales,Araliaceae,Panax,Panax quinquefolius,American ginseng,S1,G3G4,,,
Plant,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,Ilex ambigua,Carolina holly,S1,G5,,,
Plant,Magnoliopsida,Asparagales,Amaryllidaceae,Hymenocallis,Hymenocallis occidentalis var. eulae,northern spiderlily,S1,G4?TNR,,,
Plant,Magnoliopsida,Asparagales,Amaryllidaceae,Hymenocallis,Hymenocallis occidentalis var. occidentalis,northern spiderlily,S1,G4?TNR,,,
Plant,Magnoliopsida,Asparagales,Asparagaceae,Nolina,Nolina greenei,woodland beargrass,S1,G2,,,
Plant,Magnoliopsida,Asparagales,Asparagaceae,Yucca,Yucca louisianensis,gulf coast yucca,S1,G4G5,,,
Plant,Magnoliopsida,Asparagales,Iridaceae,Alophia,Alophia drummondii,purple pleatleaf,S1,G4,,,
Plant,Magnoliopsida,Asparagales,Iridaceae,Iris,Iris brevicaulis,lamance iris,S1,G4,,,
Plant,Magnoliopsida,Asparagales,Iridaceae,Iris,Iris virginica,Virginia blueflag,S1,G5,,,
Plant,Magnoliopsida,Asparagales,Iridaceae,Nemastylis,Nemastylis nuttallii,Nuttall's pleatleaf,S1,G4,,,
Plant,Magnoliopsida,Asparagales,Orchidaceae,Corallorhiza,Corallorhiza odontorhiza,autumn coralroot,S1,G5,,,
Plant,Magnoliopsida,Asparagales,Orchidaceae,Corallorhiza,Corallorhiza wisteriana,spring coralroot,S1,G5,,,
Plant,Magnoliopsida,Asparagales,Orchidaceae,Cypripedium,Cypripedium kentuckiense,southern lady's slipper,S1,G3,,,
Plant,Magnoliopsida,Asparagales,Orchidaceae,Cypripedium,Cypripedium parviflorum var. parviflorum,small yellow lady's slipper,S1,G5T3T5,,,
Plant,Magnoliopsida,Asparagales,Orchidaceae,Cypripedium,Cypripedium parviflorum var. pubescens,large yellow lady's slipper,S1,G5T5,,,
Plant,Magnoliopsida,Asparagales,Orchidaceae,Habenaria,Habenaria repens,waterspider orchid,S1,G5,,,
Plant,Magnoliopsida,Asparagales,Orchidaceae,Hexalectris,Hexalectris spicata,crested coralroot,S1,G5,,,
Plant,Magnoliopsida,Asparagales,Orchidaceae,Isotria,Isotria verticillata,larged worled pogonia,S1,G5,,,
Plant,Magnoliopsida,Asparagales,Orchidaceae,Liparis,Liparis liliifolia,large twayblade,S1,G5,,,
Plant,Magnoliopsida,Asparagales,Orchidaceae,Malaxis,Malaxis unifolia,green adder's-mouth,S1,G5,,,
Plant,Magnoliopsida,Asparagales,Orchidaceae,Neottia,Neottia bifolia,southern twayblade,S1,G4,,,
Plant,Magnoliopsida,Asparagales,Orchidaceae,Platanthera,Platanthera ciliaris,yellow fringed orchid,S1,G5,,,
Plant,Magnoliopsida,Asparagales,Orchidaceae,Platanthera,Platanthera flava,pale green orchid,S1,G4?,,,
Plant,Magnoliopsida,Asparagales,Orchidaceae,Platanthera,Platanthera flava var. flava,southern rein orchid,S1,G4?T4?Q,,,
Plant,Magnoliopsida,Asparagales,Orchidaceae,Platanthera,Platanthera lacera,green fringed orchid,S1,G5,,,
Plant,Magnoliopsida,Asparagales,Orchidaceae,Pogonia,Pogonia ophioglossoides,rose pogonia,S1,G5,,,
Plant,Magnoliopsida,Asparagales,Orchidaceae,Spiranthes,Spiranthes odorata,sweetscent ladies' tresses,S1,G5,,,
Plant,Magnoliopsida,Asparagales,Orchidaceae,Spiranthes,Spiranthes praecox,grassleaf ladies' tresses,S1,G5,,,
Plant,Magnoliopsida,Asparagales,Orchidaceae,Triphora,Triphora trianthophoros,nodding pogonia,S1,G4?,,,
Plant,Magnoliopsida,Asparagales,Orchidaceae,Triphora,Triphora trianthophoros var. trianthophoros,threebirds,S1,G5,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Acmella,Acmella oppositifolia,oppositeleaf spotflower,S1,G5,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia confertiflora,weak-leaf bursage,S1,G5,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Arnoglossum,Arnoglossum atriplicifolium,great indian plantain,S1,G4G5,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Arnoglossum,Arnoglossum reniforme,great indian plaintain,S1,G4,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Brickellia,Brickellia brachyphylla,plume brickellbush,S1,G5,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Brickellia,Brickellia californica,California brickellbush,S1,G5,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Chloracantha,Chloracantha spinosa,Mexican devilweed,S1,G4G5,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium muticum,swamp thistle,S1,G5,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Diaperia,Diaperia candida,silver evax,S1,G3G5,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Doellingeria,Doellingeria sericocarpoides,southern whitetop,S1,G3G5,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Echinacea,Echinacea paradoxa,Bush's purple coneflower,S1,G3,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Echinacea,Echinacea paradoxa var. neglecta,coneflower,S1,G3T1,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Echinacea,Echinacea sanguinea,sanguin coneflower,S1,G3G5,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Eupatorium,Eupatorium rotundifolium,round-leaf thoroughwort,S1,G5,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Eupatorium,Eupatorium rotundifolium var. rotundifolium,roundleaf thoroughwort,S1,G5T5,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Euthamia,Euthamia graminifolia,flat-top goldentop,S1,G5,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Euthamia,Euthamia leptocephala,bushy fragrant goldenrod,S1,G5,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Euthamia,Euthamia oklahomensis,,S1,G1,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Gutierrezia,Gutierrezia sphaerocephala,roundleaf snakeweed,S1,G5,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Haploesthes,Haploesthes greggii,false broomweed,S1,G4?,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Haploesthes,Haploesthes greggii var. texana,false broomweed,S1,G4?TNR,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Helianthus,Helianthus silphioides,silphium sunflower,S1,G4,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Hymenopappus,Hymenopappus filifolius,fineleaf hymenopappus,S1,G5,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Hymenopappus,Hymenopappus filifolius var. cinereus,fineleaf woollywhite,S1,G5T4T5,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Ionactis,Ionactis linariifolia,flaxleaf aster,S1,G5,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Krigia,Krigia wrightii,Wright's dwarfdandelion,S1,G3G4,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Liatris,Liatris aestivalis,summer gayfeather,S1,G3,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Liatris,Liatris compacta,scaly blazing star,S1,G5T3,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Liatris,Liatris cylindracea,ontario blazing star,S1,G5,,,
Plant,Magnoliopsida,Asterales,Asteraceae,Packera,Packera tridenticulata,three-tooth grounsel,S1,G5,,,
