id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,recordSecurity,securityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,cleanName,calcLat,calcLon,geographicPrecision,genusSpecies,Scientific Name,State Rank,Global Rank,Federal Status
32173294,CSU,,,PreservedSpecimen,4b5b2396-fc8c-11e7-8bd3-1745e4a03bb3,,CSU8854,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Orobanchaceae|Agalinis,Plantae,Magnoliophyta,,Lamiales,Orobanchaceae,Agalinis tenuifolia,17851.0,(Vahl) Raf.,Agalinis,,tenuifolia,,,,,Species,,,,,,,,M. Hamilton,,201,9/24/1994,,1994.0,9.0,24.0,267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Atoka,,"Lane; on Hwy 3, 5.7 mi N of Lane",,0,,34.37371996,-96.03782593,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,DLW (OVPD),3/30/2021 0:00,CSU8854,538,2e44ce05-3d9e-40e8-8249-a69a36132751,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32173294,Atoka,34.37371996,-96.03782593,False,Agalinis tenuifolia,Agalinis tenuifolia,S2,G5,
32173295,CSU,,,PreservedSpecimen,4b5b4aa6-fc8c-11e7-a111-af848f1c2f91,,CSU8855,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Orobanchaceae|Agalinis,Plantae,Magnoliophyta,,Lamiales,Orobanchaceae,Agalinis tenuifolia,17851.0,(Vahl) Raf.,Agalinis,,tenuifolia,,,,,Species,,,,,,,,M. Hamilton,,201,9/24/1994,,1994.0,9.0,24.0,267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Atoka,,"Lane; on Hwy 3, 5.7 mi N of Lane",,0,,34.37371996,-96.03782593,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,DLW (OVPD),3/30/2021 0:00,CSU8855,538,2f5b4743-df3c-415d-85a0-6098aa37d786,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32173295,Atoka,34.37371996,-96.03782593,False,Agalinis tenuifolia,Agalinis tenuifolia,S2,G5,
32173296,CSU,,,PreservedSpecimen,4b5afc86-fc8c-11e7-b048-cf08f997048c,,CSU8856,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Orobanchaceae|Agalinis,Plantae,Magnoliophyta,,Lamiales,Orobanchaceae,Agalinis tenuifolia,17851.0,(Vahl) Raf.,Agalinis,,tenuifolia,,,,,Species,,,,,,,,L. Armstrong,,133,9/24/1994,,1994.0,9.0,24.0,267.0,,,,on roadside,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Atoka,,"Lane; Hwy 3, 5.7 mi N of Lane",,0,,34.37371996,-96.03782593,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,DLW (OVPD),3/30/2021 0:00,CSU8856,538,3e900d49-98c5-475b-95a5-91507eb35da0,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32173296,Atoka,34.37371996,-96.03782593,False,Agalinis tenuifolia,Agalinis tenuifolia,S2,G5,
32173297,CSU,,,PreservedSpecimen,296b821c-fc8c-11e7-935f-6b9b71ab2e63,,CSU8857,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Orobanchaceae|Agalinis,Plantae,Magnoliophyta,,Lamiales,Orobanchaceae,Agalinis tenuifolia,17851.0,(Vahl) Raf.,Agalinis,,tenuifolia,,,,,Species,,,,,,,,C. Clarke,,101,9/24/1994,,1994.0,9.0,24.0,267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Atoka,,"Lane; on Hwy 3, 5.7 mi N of Lane",,0,,34.37371996,-96.03782593,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,DLW (OVPD),3/30/2021 0:00,CSU8857,538,f53e47fc-5b11-45dc-91f8-5350d4738335,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32173297,Atoka,34.37371996,-96.03782593,False,Agalinis tenuifolia,Agalinis tenuifolia,S2,G5,
33225181,CSU,,,PreservedSpecimen,,CSU117505,CSU18944,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Lamiaceae|Monarda,Plantae,Magnoliophyta,,Lamiales,Lamiaceae,Monarda pectinata,994.0,Nutt.,Monarda,,pectinata,,,,,Species,Grace Payne,6/6/2021,,,,,,Grace Payne,,40,6/6/2021,,2021.0,6.0,6.0,157.0,,6/6/2021,flowering,"open prairie, north roadside, loam",loam,spotted lower lip,,,,,,,,,Plantago patagonica,,,,,,,,,,,,,,United States,US,Oklahoma,Beaver,,Beaver Wildlife Management Area; 1.5 mi W of Hollow E0113 and 0.5mi S on NS1290,,0,,36.8378,-100.7284,,,36.8378 -100.7284,,,,,,,,,,,,,,Sshort,6/28/2025 0:20,,538,f9659216-50ff-4687-ac9d-fdc00ae8e36d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=33225181,Beaver,36.8378,-100.7284,Assigned,Monarda pectinata,Monarda pectinata,S3,G5,
32166663,CSU,,,PreservedSpecimen,510a25d0-fc8c-11e7-8408-c7ed2f36b9a2,,CSU2455,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Hymenopappus|Hymenopappus filifolius,Plantae,Magnoliophyta,,Asterales,Asteraceae,Hymenopappus filifolius var. cinereus,13196.0,(Rydb.) I.M. Johnston,Hymenopappus,,filifolius,var.,cinereus,,,Variety,,,,,,,,M. Malone,,56,7/5/1992,,1992.0,7.0,5.0,187.0,,,,"top gypsum mesa, approaching xeric; scattered with junipers, bare soil/rock, and other herbs, grasses; uncommon",,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Blaine,,Roman Nose State Park; N of lake in Roman Nose State Park,,0,,35.87525118,-98.43345582,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,DLW (OVPD),3/30/2021 0:00,CSU2455,538,a386e9a0-8393-4b81-ac98-0ca68204c432,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32166663,Blaine,35.87525118,-98.43345582,False,Hymenopappus filifolius var. cinereus,Hymenopappus filifolius var. cinereus,S1,G5T4T5,
32169760,CSU,,,PreservedSpecimen,0a663a42-fc8c-11e7-9bee-a7794c9cafaf,,CSU5466,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Lamiaceae|Monarda,Plantae,Magnoliophyta,,Lamiales,Lamiaceae,Monarda pectinata,994.0,Nutt.,Monarda,,pectinata,,,,,Species,,,,,,,,V. Luick,,s.n.,8/1/1938,,1938.0,8.0,1.0,213.0,,,,sandy soil; prairie,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Blaine,,Blaine County,,0,,35.87525118,-98.43345582,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,VCK (OVPD),3/30/2021 0:00,CSU5466,538,1091255b-5408-490d-9c88-adb4db9f16fe,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32169760,Blaine,35.87525118,-98.43345582,False,Monarda pectinata,Monarda pectinata,S3,G5,
32173339,CSU,,,PreservedSpecimen,3952c938-fc8c-11e7-8c16-13aedd731d93,,CSU8895,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Plantaginaceae|Penstemon,Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,Penstemon grandiflorus,18532.0,Nutt.,Penstemon,,grandiflorus,,,,,Species,,,,,,,,W. S. Myers,,447,5/13/1926,,1926.0,5.0,13.0,133.0,,,,sandy soil,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Blaine,,unknown,,0,,35.87525118,-98.43345582,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,DLW (OVPD),3/30/2021 0:00,CSU8895,538,2b8ade9b-e514-457f-8f44-711893202d92,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32173339,Blaine,35.87525118,-98.43345582,False,Penstemon grandiflorus,Penstemon grandiflorus,S1,G5?,
32173337,CSU,,,PreservedSpecimen,39525408-fc8c-11e7-a474-330918eb0af9,,CSU8893,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Plantaginaceae|Penstemon,Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,Penstemon grandiflorus,18532.0,Nutt.,Penstemon,,grandiflorus,,,,,Species,,,,,,,,L. R. Wilson,,997,5/12/1962,,1962.0,5.0,12.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Caddo,,"Hinton; S of Hinton, Canadian-Caddo County line",,0,,35.4095318,-98.3118701,WGS84,500.0,,Daniela Kosnacova (OVPD),,Google Earth,True,Coordinates derived via geocoding. Coordinates taken from the upper end of the Devil's/Caddo Canyon on the Caddo county side. (OVPD),,,,,,,,,DLW (OVPD),7/8/2021 0:00,CSU8893,538,301d7593-c19d-4712-9e3f-2dfdd2dbfce1,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32173337,Caddo,35.4095318,-98.3118701,True,Penstemon grandiflorus,Penstemon grandiflorus,S1,G5?,
32168374,CSU,,,PreservedSpecimen,362041fa-fc8c-11e7-aef4-573feb09426f,,CSU425,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Apocynaceae|Asclepias,Plantae,Magnoliophyta,,Gentianales,Apocynaceae,Asclepias oenotheroides,17935.0,Schltdl. & Cham.,Asclepias,,oenotheroides,,,,,Species,,,,,,,,G. Hoggard,,86,7/27/1994,,1994.0,7.0,27.0,208.0,,,,Disturbed pasture; mixed grasses and forbes; sandy loam; xeric,,Greenish white flowers,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Canadian,,Edmond; 0.5 mi N of Edmond Road on Morgan Road,,0,,35.54244528,-97.98237846,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,HRR (OVPD),3/30/2021 0:00,CSU425,538,57819d7d-fed5-4d11-806e-e0bd021b7374,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32168374,Canadian,35.54244528,-97.98237846,False,Asclepias oenotheroides,Asclepias oenotheroides,S1,G4G5,
